Pais;Habitantes
Índia;1417173173
China;1412175000
Estados Unidos da América;333287557
Indonésia;275501339
Paquistão;235824862
Nigéria;218541212
Brasil;203062512
Bangladesh;171186372
Rússia;143555736
México;127504125
Japão;125124989
Etiópia;123379924
Filipinas;115559009
Egito;110990103
República Democrática do Congo;99010212
Vietnã;98186856
Irã;88550570
Turquia;85341241
Alemanha;84079811
Tailândia;71697030
França;67935660
Reino Unido;66971411
Tanzânia;65497748
África do Sul;59893885
Itália;58856847
Mianmar;54179306
Quênia;54027487
Colômbia;51874024
República da Coreia;51628117
Espanha;47615034
Uganda;47249585
Sudão;46874204
Argentina;46234830
Argélia;44903225
Iraque;44496122
Afeganistão;41128771
Canadá;38929902
Ucrânia;38000000
Polônia;37561599
Marrocos;37457971
Arábia Saudita;36408820
Uzbequistão;35648100
Angola;35588987
Peru;34049588
Malásia;33938221
Iêmen;33696614
Gana;33475870
Moçambique;32969518
Nepal;30547580
Madagascar;29611714
Venezuela;28301696
Costa do Marfim;28160542
Camarões;27914536
Niger;26207977
República Popular Democrática da Coreia;26069416
Austrália;25978935
Burkina Faso;22673762
Mali;22593590
Sri Lanka;22181000
Síria;22125249
Malauí;20405317
Zâmbia;20017675
Cazaquistão;19621972
Chile;19603733
Romênia;18956666
Equador;18001000
Chade;17723315
Holanda;17703090
Somália;17597511
Guatemala;17357886
Senegal;17316449
Camboja;16767842
Zimbábue;16320537
Guiné;13859341
Ruanda;13776698
Benin;13352864
Burundi;12889576
Tunísia;12356117
Bolívia;12224110
Bélgica;11669446
Haiti;11584996
Jordânia;11285869
República Dominicana;11228821
Cuba;11212191
Sudão do Sul;10913164
Grécia;10566531
República Tcheca;10526073
Suécia;10486941
Honduras;10432860
Portugal;10379007
Azerbaijão;10175016
Papua Nova Guiné;10142619
Tadjiquistão;9952787
Hungria;9683505
Israel;9550600
Emirados Árabes Unidos;9441129
Belarus;9208701
Áustria;9042528
Togo;8848699
Suíça;8769741
Serra Leoa;8605718
Laos;7529475
Nicarágua;6948392
Líbia;6812341
Quirguistão;6803300
Paraguai;6780744
Sérvia;6760087
Bulgária;6465097
Turcomenistão;6430770
El Salvador;6336392
República do Congo;5970424
Dinamarca;5903037
Singapura;5637022
República Centro-Africana;5579144
Finlândia;5556880
Líbano;5489739
Noruega;5457127
Eslováquia;5431752
Libéria;5302681
Costa Rica;5180829
Nova Zelândia;5124100
Irlanda;5086988
Mauritânia;4736139
Omã;4576298
Panamá;4408581
Kuwait;4268873
Croácia;3854000
Geórgia;3712502
Eritreia;3684032
Uruguai;3422794
Mongólia;3398366
Bósnia e Herzegovina;3233526
Lituânia;2833000
Jamaica;2827377
Armênia;2780469
Albânia;2775634
Gâmbia;2705992
Catar;2695122
Botsuana;2630296
Moldávia;2592477
Namíbia;2567012
Gabão;2388992
Lesoto;2305825
Eslovênia;2108732
Guiné-Bissau;2105566
Macedônia do Norte;2057679
Letônia;1883379
Guiné Equatorial;1674908
Trinidade e Tobago;1531044
Barein;1472233
Estônia;1344768
Timor-Leste;1341296
Maurício;1262523
Chipre;1251488
Eswatini;1201670
Djibouti;1120849
Fiji;929766
Comores;836774
Guiana;808726
Butão;782455
Ilhas Salomão;724273
Luxemburgo;650774
Suriname;618040
Montenegro;616159
Cabo Verde;593149
Maldivas;523787
Malta;523417
Brunei;449002
Bahamas;409984
Belize;405272
Islândia;381900
Vanuatu;326740
Barbados;281635
São Tomé e Príncipe;227380
Samoa;222382
Santa Lúcia;179857
Kiribati;131232
Granada;125438
Micronésia;114164
Tonga;106858
São Vicente e Granadinas;103948
Seichelles;100060
Antígua e Barbuda;93763
Andorra;79824
Dominica;72737
São Cristóvão e Nevis;47657
Ilhas Marshall;41569
Liechtenstein;39327
Mônaco;36469
San Marino;33660
Palau;18055
Nauru;12668
Tuvalu;11312
