data;precipitacao_total;temp_max;temp_min;humid_media;temp_media;Brancas/Rosadas;Tinto
31/12/2006;3,57;24,67;14,69;73,77;19,68;22335925;34162995
31/12/2007;4,68;23,76;13,8;77,39;18,78;28254191;43653087
31/12/2008;3,93;23,87;13,71;75,63;18,79;34602464;48852574
31/12/2009;4,97;23,86;13,77;77,15;18,82;32556903;39148123
31/12/2010;4,33;23,67;13,75;76,94;18,71;22104122;23633831
31/12/2011;4,14;23,57;13,62;76,53;18,59;37931015;44473588
31/12/2012;3,72;24,93;14,4;73,75;19,66;36519724;39303313
31/12/2013;4,41;23,66;13,46;76,07;18,56;36958341;36855419
31/12/2014;5,57;24,56;14,86;77,83;19,71;35769155;29810706
31/12/2015;5,8;24,25;14,99;79,42;19,62;40130577;29935627
31/12/2016;4,36;23,76;13,82;77,76;18,79;18769366;13370866
31/12/2017;5,18;24,87;14,76;76,89;19,81;44058213;32850915
31/12/2018;4,56;24,21;14,09;77,8;19,15;38722156;26868514
31/12/2020;3,58;24,95;13,63;72,98;19,29;41004206;28003505
31/12/2021;3,63;24,4;13,56;75,61;18,98;71266239;93296587
